Spartan Race Sprint Zakopane,5,220
Spartan Race Sprint Krynica,5,200
Spartan Race Super Krynica,13,220
Spartan Race Ultra Krynica,50,350
Barbarian Opener Siemianowice Slaskie,7,129
Barbarian Race Siemianowice Slaskie,13,169
Barbarian Race Wisla,13,179
Barbarian Opener Wisla,7,139
Barbarian Opener Ustron,7,129
Barbarian Race Ustron,13,159
Destroyer Race,8,149
Runaway,6,119
Polmaraton Warszawski,21,160
Polmaraton Gdynia,21,119
Runmageddon Classic Krakow,12,200
Maraton Gdansk,42,119
PKO Poznan Polmaraton,21,150
Biegun Zemsta Neptuna,4,120
Runmageddon Rekrut Trojmiasto,6,99
Runmageddon Classic Trojmiasto,12,149
Runmageddon Hardcore Trojmiasto,20,229
Garmin Ultra Race,85,220
Runmageddon Rekrut Warszawa,6,159
Runmageddon Classic Warszawa,12,219
PKO Bialystok Polmaraton,21,100
Bieg Powstania Warszawskiego,5,50
Bieg Powstania Warszawskiego,10,60
Bieg Konstytuacji 3 Maja,10,60
Bieg Niepodleglosci,10,60
Spartan Race Sprint Warszawa,5,210
Spartan Race Sprint Wroclaw,5,180
Spartan Race Super Wroclaw,13,200
Spartan Race Ultra Wroclaw,50,450
Barbarian Opener Tychy,7,109
Barbarian Race Tychy,13,129
Barbarian Race Wieliszew,13,119
Barbarian Opener Wieliszew,7,99
Barbarian Opener Katowice,7,119
Barbarian Race Katowice,13,139
Polmaraton Wroclawski,21,40
Polmaraton Krakow,21,139
Maraton Wroclaw,42,149
Runmageddon Rekrut Wroclaw,6,199
Runmageddon Classic Wroclaw,12,239
Runmageddon Hardcore Wroclaw,20,329
Runmageddon Rekrut Trojmiasto,6,129
Runmageddon Classic Trojmiasto,12,129
Runmageddon Hardcore Trojmiasto,20,189
Runmageddon Rekrut Elk,6,119
Runmageddon Classic Elk,12,139
Runmageddon Hardcore Elk,20,259
Runmageddon Rekrut Szczecin,6,129
Runmageddon Classic Szczecin,12,149
Runmageddon Hardcore Szczecin,20,229
Runmageddon Rekrut Zielona Gora,6,99
Runmageddon Classic Zielona Gora,12,149
Runmageddon Hardcore Zielona Gora,20,229
Runmageddon Rekrut Jozefow,6,99
Runmageddon Classic Jozefow,12,149
Runmageddon Hardcore Jozefow,20,229
Szczecin Polmaraton,21,100
Trojmiasto Polmaraton,21,100
Wroclaw Polmaraton,21,100
Katowice Polmaraton,21,100
